1,may,2022,0
1,jun,2022,0
1,jul,2022,0
1,aug,2022,0
1,sep,2022,1
1,oct,2022,1
1,nov,2022,1
1,dec,2022,0
1,jan,2023,0
1,feb,2023,0
1,mar,2023,0
1,apr,2023,0
2,may,2022,0
2,jun,2022,0
2,jul,2022,0
2,aug,2022,1
2,sep,2022,1
2,oct,2022,1
2,nov,2022,0
2,dec,2022,0
2,jan,2023,1
2,feb,2023,1
2,mar,2023,0
2,apr,2023,0
3,may,2022,0
3,jun,2022,0
3,jul,2022,0
3,aug,2022,1
3,sep,2022,1
3,oct,2022,1
3,nov,2022,1
3,dec,2022,1
3,jan,2023,1
3,feb,2023,0
3,mar,2023,0
3,apr,2023,0
4,may,2022,0
4,jun,2022,0
4,jul,2022,0
4,aug,2022,1
4,sep,2022,1
4,oct,2022,1
4,nov,2022,0
4,dec,2022,0
4,jan,2023,1
4,feb,2023,1
4,mar,2023,0
4,apr,2023,0
5,may,2022,0
5,jun,2022,0
5,jul,2022,0
5,aug,2022,1
5,sep,2022,1
5,oct,2022,1
5,nov,2022,1
5,dec,2022,0
5,jan,2023,0
5,feb,2023,0
5,mar,2023,0
5,apr,2023,0
6,may,2022,0
6,jun,2022,0
6,jul,2022,0
6,aug,2022,1
6,sep,2022,0
6,oct,2022,1
6,nov,2022,1
6,dec,2022,1
6,jan,2023,1
6,feb,2023,0
6,mar,2023,0
6,apr,2023,0
