0,0.1,1,1,1,0.1,1,1,0.7,0,0,0,kharif_and_rabi
0,0,0.5,1,0.2,0,0.8,0.9,0.8,0,0,0,kharif_and_rabi
0,0,1,1,0,0.1,1,1,1,0,0,0,kharif_and_rabi
0,0,1,1,0.1,0,1,1,0.6,0,0,0,kharif_and_rabi
0,0,1,1,0.8,0.1,0.8,1,1,0.6,0,0.1,kharif_and_rabi
0,0,1,1,0.7,0.1,1,1,1,0,0,0,kharif_and_rabi
0,0,0.5,1,1,0.2,1,1,0,0,0,0,kharif_and_rabi
0,0,0.9,1,1,0.2,1,1,0.9,0,0,0,kharif_and_rabi
0,0,1,1,0,1,1,1,0,0,0,0,kharif_and_rabi
0.1,0.1,1,1,1,1,0,0,1,0.6,0.1,0.1,kharif_and_rabi
0,0.1,0,1,1,1,0,1,1,0,0.1,0,kharif_and_rabi
0,0,0.6,1,1,0.5,0,0,0,0,0,0,short_kharif
0,0,1,1,0.7,0.5,0,0,0,0,0,0,short_kharif
0,0,1,1,1,0.5,0,0,0,0,0,0,short_kharif
0,0,1,1,0.9,0.5,0,0,0,0,0,0,short_kharif
0,0.1,0.7,1,1,0.5,0,0,0,0,0,0,short_kharif
0.1,0.1,0.3,0.8,1,0.5,0,0,0,0,0,0,short_kharif
0,0,0,1,1,1,1,0.6,0,0,0,0,short_kharif
0,0,0.1,1,0.9,1,0.7,0.5,0.3,0,0,0,short_kharif
0,0,0,1,1,1,1,0.6,0,0,0,0,long_kharif
0,0.1,0.7,1,1,1,1,0.8,0.2,0,0,0,long_kharif
0,0,0.8,1,1,1,1,0.9,0.8,0,0.2,0.1,long_kharif
0,0,1,1,1,1,1,1,0.5,0,0.3,0.3,long_kharif
0.2,0.5,0.7,1,1,0.9,1,1,1,0.8,1,1,perennial
0.1,0.2,0.9,1,1,1,1,0.1,0.7,1,1,1,perennial
