ogc_fid,may_2022_crop_presence,jun_2022_crop_presence,jul_2022_crop_presence,aug_2022_crop_presence,sep_2022_crop_presence,oct_2022_crop_presence,nov_2022_crop_presence,dec_2022_crop_presence,jan_2023_crop_presence,feb_2023_crop_presence,mar_2023_crop_presence,apr_2023_crop_presence,label
1141,0.038855394,0.41961962,0.996714952,0.999989339,0.999997116,0.99999511,0.691797702,0.352745818,0.980140885,0.984364012,0.999999879,0.999993394,kharif_rabi
679,0.984536813,0.881307897,0.989008823,0.999997036,0.999999819,0.999998169,0.580035466,0.132292473,0.999730284,0.947496679,0.999999707,0.993473131,kharif_rabi
1323,0.97707697,0.161715021,0.999998299,0.9999995,0.999999725,0.999962198,0.991239364,0.046675298,0.989836616,0.643363627,0.995528542,0.991838469,kharif_rabi
1093,0.818925224,0.021009522,0.999858942,0.999999954,0.999462766,0.999998693,0.698518729,0.010874778,0.992257252,0.698518729,0.818925224,0.818925224,kharif_rabi
1773,0.562741073,0.128787596,0.979833554,0.999996334,0.999999251,0.999750329,0.588869267,0.020626574,0.999988633,0.969856909,0.999685315,0.991728232,kharif_rabi
758,0.045625587,0.240330427,0.881894602,0.999999523,0.999997323,0.999999659,0.486867382,0.496792432,1,0.999991249,0.999999274,0.925601514,kharif_rabi
607,0.093882258,0.73082534,0.885795832,0.999966314,0.999999371,0.999784568,0.499573666,0.332233686,0.999935266,0.750578075,0.999992559,0.054123702,kharif_rabi
1320,0.075768527,0.185067494,0.999978867,0.999999821,0.99999992,0.999992149,0.511645678,0.26789204,0.859245923,0.334918097,0.79608137,0.984345743,kharif_rabi
1799,0.018155325,0.026848167,0.058364955,0.999855645,0.999992216,0.543415634,0.005676353,0.004185051,0.859470314,0.469741193,0.999998528,0.038173176,kharif_rabi
1566,0.450565566,0.032002859,0.987355895,0.999963619,0.999995773,0.999955106,0.850325228,0.293163264,0.999992739,0.999936915,0.999995017,0.945665448,kharif_rabi
1034,0.24627406,0.773337771,0.717366614,0.997967257,0.949628657,0.974145002,0.596216773,0.300965677,0.935359256,0.470158217,0.681529941,0.998690489,kharif_rabi
1007,0.565282057,0.500057913,0.999947883,0.999986411,0.999990774,0.999996011,0.96708023,0.132707544,0.964922958,0.765059179,0.432860769,0.979222796,kharif_rabi
965,0.178870659,0.243465902,0.999942859,0.999999978,0.999999819,0.999966491,0.569183303,0.217868865,0.987626338,0.69310121,0.481926393,0.965337002,kharif_rabi
1790,0.019504686,0.03875068,0.97334506,0.999998772,0.99999952,0.009290459,0.518484003,0.809172268,0.999998117,0.995107824,0.99999854,0.999991496,kharif_rabi
1338,0.374382826,0.422875519,0.999946375,0.999998371,0.999996896,0.999984131,0.998311807,0.979566436,0.983474774,0.780837729,0.959556693,0.998974774,perennial
495,0.135135463,0.114559948,0.074560148,0.999997785,0.999997466,0.999985057,0.765401655,0.962704544,0.993910247,0.731394941,0.691832758,0.61288983,perennial
814,0.65474198,0.702287246,0.999741872,0.999999334,0.999997712,0.999996012,0.984450015,0.841516166,0.999797191,0.945467323,0.999878732,0.999997177,perennial
1641,0.192602431,0.417201946,0.686823914,0.999998678,0.999984424,0.99995108,0.972321587,0.801716723,0.986741163,0.43383059,0.950113415,0.996482953,perennial
920,0.987784122,0.568464898,0.920310237,0.99999997,0.99999999,0.997525016,0.999990282,0.996620181,0.999999997,0.999988227,0.999999896,1,perennial
1630,0.107719953,0.701199625,0.74934506,0.999982995,0.999943348,0.999927731,0.848340021,0.947025627,0.999965365,0.916331666,0.999590789,0.990898223,perennial
460,0.272894569,0.14858689,0.999713965,0.999999678,0.999999127,0.999925177,0.952195418,0.999264119,0.999999994,0.999616521,0.999998938,0.97794102,perennial
969,0.195640162,0.416793899,0.954389749,0.999568723,0.999978087,0.99787954,0.650056419,0.21482278,0.522053987,0.40803749,0.374050134,0.997834747,perennial
1468,0.93134652,0.268606261,0.990984551,0.999997134,0.999937281,0.999987515,0.973587916,0.993621019,0.999913668,0.995510352,0.999561112,0.999999982,perennial
1372,0.019302259,0.040125614,0.999852984,0.999998272,0.999989113,0.999723135,0.716196298,0.433184275,0.67264605,0.047461045,0.664706971,0.891705649,perennial
808,0.38982446,0.605804906,0.999474878,0.999998677,0.999999654,0.999999912,0.997654941,0.956897343,0.999992436,0.99931524,0.999919547,0.999999859,perennial
1091,0.110344398,0.402938086,0.978711381,0.999898483,0.999999997,0.999938691,0.986679657,0.907381707,0.99995022,0.999462766,0.999994227,0.003541343,perennial
1728,0.082777557,0.525753396,0.999998802,0.999999458,0.99999995,0.999998856,0.999931567,0.997657655,0.994064376,0.654339152,0.997551712,0.999999944,perennial
1829,0.542751729,0.025750441,0.99999937,0.999999997,0.999999993,0.999999979,0.999999992,0.999999988,0.999999997,0.999110716,0.999999808,0.99999999,perennial
186,0.818925224,0.378151139,0.97112751,0.999990282,0.999990282,0.999462766,0.999462766,0.999990282,0.040205417,0.818925224,0.99601829,0.040205417,perennial
844,0.281420388,0.299684148,0.999995752,0.999999934,0.999999873,0.999997516,0.999969089,0.99981303,0.999999934,0.987293801,0.970618146,0.003448085,perennial
915,0.897048871,0.805478667,0.990233094,0.99999524,0.99999948,0.999972082,0.999371516,0.797713777,0.999999386,0.999906901,0.996142704,0.999956317,perennial
394,0.094709691,0.29525605,0.918572291,0.999999908,0.999999669,0.999991993,0.982672455,0.982633635,0.989217257,0.720326994,0.934376267,0.999538603,perennial
613,0.041489629,0.088570921,0.999997995,0.99999999,0.999999917,0.999988296,0.991669286,0.999281937,0.992369138,0.678404444,0.978097916,0.803275803,perennial
1282,0.06754747,0.126068994,0.344553219,0.999997362,0.99999902,0.811992203,0.836552986,0.999989844,0.999967026,0.999811397,0.999983777,0.029900784,perennial
1029,0.015114929,0.064535867,0.966903834,0.99996428,0.999700873,0.999035985,0.437686839,0.973915554,0.97962439,0.584455832,0.932308441,0.987836575,perennial
183,0.451310707,0.471117048,0.999979649,0.999999989,0.999999601,0.999999979,0.999992889,0.999046747,0.99999828,0.578749099,0.999474444,0.999981554,perennial
409,0.545229543,0.298106233,0.628569465,0.999997648,0.999666217,0.999999749,0.71353206,0.96402115,0.999999977,0.65906571,0.995544783,0.999999461,perennial
1644,0.344025615,0.004358015,0.988491061,0.999999139,0.999986122,0.996469258,0.934312366,0.788722634,0.999999879,0.999997449,1,0.028496863,perennial
1792,0.102203012,0.077058947,0.996694309,0.999996231,0.999995275,0.999917935,0.994438732,0.980281745,0.978370185,0.404098393,0.975415256,0.999923859,perennial
1298,0.313219611,0.354491,0.995211683,0.999986493,0.999958508,0.999979027,0.82577551,0.995226288,0.999049121,0.300323238,0.976767217,0.999844536,perennial
1182,0.238488543,0.115069949,0.999342471,0.99999693,0.99992142,0.998909359,0.986835944,0.99994059,0.340367409,0.902338604,0.999746063,0.999999815,perennial
1021,0.02934985,0.686927033,0.999930227,0.999993319,0.999999727,0.99999476,0.588412291,0.54711266,0.428559339,0.164463049,0.652270649,0.998474211,long_kharif
1083,0.053048257,0.04551583,0.951599927,0.999877652,0.999566756,0.999559961,0.588480869,0.178009172,0.610841971,0.282992143,0.319502171,0.838498469,long_kharif
1129,0.964139531,0.078766607,0.984397269,0.999970525,0.931952647,0.805026158,0.590232891,0.412351617,0.325816976,0.030399228,0.054155334,0.071208125,long_kharif
